,Stand,Hit,Optimal
"(0, 1)",0.492666,0.507334,Hit
"(0, 2)",0.489836,0.510164,Hit
"(0, 3)",0.486764,0.513236,Hit
"(0, 4)",0.48338,0.51662,Hit
"(0, 5)",0.479975,0.520025,Hit
"(0, 6)",0.47605,0.52395,Hit
"(0, 7)",0.472127,0.527873,Hit
"(0, 8)",0.468209,0.531792,Hit
"(0, 9)",0.464294,0.535706,Hit
"(0, 10)",0.460383,0.539617,Hit
"(1, 1)",0.495587,0.504413,Hit
"(1, 2)",0.495767,0.504233,Hit
"(1, 3)",0.493247,0.506753,Hit
"(1, 4)",0.490917,0.509083,Hit
"(1, 5)",0.488386,0.511614,Hit
"(1, 6)",0.485492,0.514508,Hit
"(1, 7)",0.482506,0.517493,Hit
"(1, 8)",0.479323,0.520676,Hit
"(1, 9)",0.475874,0.524126,Hit
"(1, 10)",0.472427,0.527573,Hit
"(2, 1)",0.495689,0.504311,Hit
"(2, 2)",0.496011,0.503989,Hit
"(2, 3)",0.496441,0.503559,Hit
"(2, 4)",0.496163,0.503837,Hit
"(2, 5)",0.493644,0.506356,Hit
"(2, 6)",0.491197,0.508803,Hit
"(2, 7)",0.488899,0.511101,Hit
"(2, 8)",0.486032,0.513968,Hit
"(2, 9)",0.483378,0.516622,Hit
"(2, 10)",0.480724,0.519276,Hit
"(3, 1)",0.496204,0.503796,Hit
"(3, 2)",0.496111,0.503888,Hit
"(3, 3)",0.496408,0.503592,Hit
"(3, 4)",0.49679,0.50321,Hit
"(3, 5)",0.49725,0.50275,Hit
"(3, 6)",0.497423,0.502577,Hit
"(3, 7)",0.49509,0.50491,Hit
"(3, 8)",0.492757,0.507243,Hit
"(3, 9)",0.490659,0.509341,Hit
"(3, 10)",0.488132,0.511868,Hit
"(4, 1)",0.496651,0.503349,Hit
"(4, 2)",0.496544,0.503456,Hit
"(4, 3)",0.496423,0.503577,Hit
"(4, 4)",0.49674,0.50326,Hit
"(4, 5)",0.497089,0.502911,Hit
"(4, 6)",0.497549,0.502451,Hit
"(4, 7)",0.498009,0.501991,Hit
"(4, 8)",0.498468,0.501532,Hit
"(4, 9)",0.496729,0.503271,Hit
"(4, 10)",0.494396,0.505604,Hit
"(5, 1)",0.497092,0.502908,Hit
"(5, 2)",0.496977,0.503023,Hit
"(5, 3)",0.496823,0.503177,Hit
"(5, 4)",0.496755,0.503245,Hit
"(5, 5)",0.497072,0.502928,Hit
"(5, 6)",0.497389,0.502611,Hit
"(5, 7)",0.497848,0.502152,Hit
"(5, 8)",0.498308,0.501692,Hit
"(5, 9)",0.498768,0.501232,Hit
"(5, 10)",0.499227,0.500773,Hit
"(6, 1)",0.497416,0.502584,Hit
"(6, 2)",0.49741,0.50259,Hit
"(6, 3)",0.497255,0.502745,Hit
"(6, 4)",0.497101,0.502899,Hit
"(6, 5)",0.497087,0.502913,Hit
"(6, 6)",0.497403,0.502597,Hit
"(6, 7)",0.49772,0.50228,Hit
"(6, 8)",0.498147,0.501853,Hit
"(6, 9)",0.498607,0.501393,Hit
"(6, 10)",0.499067,0.500933,Hit
"(7, 1)",0.497724,0.502276,Hit
"(7, 2)",0.497843,0.502157,Hit
"(7, 3)",0.497688,0.502312,Hit
"(7, 4)",0.497534,0.502466,Hit
"(7, 5)",0.497379,0.502621,Hit
"(7, 6)",0.497418,0.502582,Hit
"(7, 7)",0.497735,0.502265,Hit
"(7, 8)",0.498052,0.501948,Hit
"(7, 9)",0.498446,0.501554,Hit
"(7, 10)",0.498906,0.501094,Hit
"(8, 1)",0.497994,0.502006,Hit
"(8, 2)",0.498258,0.501742,Hit
"(8, 3)",0.498109,0.501891,Hit
"(8, 4)",0.497961,0.502039,Hit
"(8, 5)",0.497812,0.502188,Hit
"(8, 6)",0.497658,0.502342,Hit
"(8, 7)",0.49775,0.50225,Hit
"(8, 8)",0.498067,0.501933,Hit
"(8, 9)",0.498383,0.501616,Hit
"(8, 10)",0.498745,0.501255,Hit
"(9, 1)",0.498235,0.501765,Hit
"(9, 2)",0.498627,0.501373,Hit
"(9, 3)",0.498489,0.501511,Hit
"(9, 4)",0.49834,0.50166,Hit
"(9, 5)",0.498191,0.501809,Hit
"(9, 6)",0.498042,0.501957,Hit
"(9, 7)",0.497894,0.502106,Hit
"(9, 8)",0.498045,0.501955,Hit
"(9, 9)",0.498367,0.501633,Hit
"(9, 10)",0.498689,0.501311,Hit
"(10, 1)",0.498475,0.501525,Hit
"(10, 2)",0.498867,0.501133,Hit
"(10, 3)",0.498869,0.501131,Hit
"(10, 4)",0.49872,0.50128,Hit
"(10, 5)",0.498571,0.501429,Hit
"(10, 6)",0.498422,0.501578,Hit
"(10, 7)",0.498273,0.501727,Hit
"(10, 8)",0.498124,0.501876,Hit
"(10, 9)",0.498329,0.501671,Hit
"(10, 10)",0.498651,0.501349,Hit
"(11, 1)",0.498723,0.501277,Hit
"(11, 2)",0.499107,0.500893,Hit
"(11, 3)",0.499248,0.500752,Hit
"(11, 4)",0.499099,0.500901,Hit
"(11, 5)",0.498951,0.501049,Hit
"(11, 6)",0.498802,0.501198,Hit
"(11, 7)",0.498653,0.501347,Hit
"(11, 8)",0.498504,0.501496,Hit
"(11, 9)",0.498355,0.501645,Hit
"(11, 10)",0.498613,0.501387,Hit
"(12, 1)",0.499047,0.500953,Hit
"(12, 2)",0.499348,0.500652,Hit
"(12, 3)",0.499628,0.500372,Hit
"(12, 4)",0.499479,0.500521,Hit
"(12, 5)",0.49933,0.50067,Hit
"(12, 6)",0.499181,0.500819,Hit
"(12, 7)",0.499032,0.500968,Hit
